0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
14;You impede foe's combat stance. You have the initiative.;+0H;Foe collides with your attack before you get a grip. Small bruise.;+2H;You cannot get a grip, foe hurts himself evading. You have initiative.;+4H;Grab foe's head. If foe has helm, you twist it. Otherwise, you gain initiative.;with helm: stun 1x;Lame attack, but foe is concerned. He  moves back.;+6H, must parry 1x
15;You impede foe's combat stance. You have the initiative.;+0H;Foe collides with your attack before you get a grip. Small bruise.;+2H;You cannot get a grip, foe hurts himself evading. You have initiative.;+4H;Grab foe's head. If foe has helm, you twist it. Otherwise, you gain initiative.;with helm: stun 1x;Lame attack, but foe is concerned. He  moves back.;+6H, must parry 1x
16;Foe breaks free of a weak grip. You have the initiative next round.;+0H;Grab foe and give him a weak punch. He thinks you are dangerous.;must parry 1x;Foe recovers, continues his defense by sweeping his weapon at your feet.;must parry 1x;Push foe, unbalancing him. You have initiative for 2 rounds.;+0H;Strong passing blow near foe's head. His violent evasion is not productive.;+3H, stun 1x
17;Foe breaks free of a weak grip. You have the initiative next round.;+0H;Grab foe and give him a weak punch. He thinks you are dangerous.;must parry 1x;Foe recovers, continues his defense by sweeping his weapon at your feet.;must parry 1x;Push foe, unbalancing him. You have initiative for 2 rounds.;+0H;Strong passing blow near foe's head. His violent evasion is not productive.;+3H, stun 1x
18;Foe breaks free of a weak grip. You have the initiative next round.;+0H;Grab foe and give him a weak punch. He thinks you are dangerous.;must parry 1x;Foe recovers, continues his defense by sweeping his weapon at your feet.;must parry 1x;Push foe, unbalancing him. You have initiative for 2 rounds.;+0H;Strong passing blow near foe's head. His violent evasion is not productive.;+3H, stun 1x
19;Foe breaks free of a weak grip. You have the initiative next round.;+0H;Grab foe and give him a weak punch. He thinks you are dangerous.;must parry 1x;Foe recovers, continues his defense by sweeping his weapon at your feet.;must parry 1x;Push foe, unbalancing him. You have initiative for 2 rounds.;+0H;Strong passing blow near foe's head. His violent evasion is not productive.;+3H, stun 1x
20;Foe breaks free of a weak grip. You have the initiative next round.;+0H;Grab foe and give him a weak punch. He thinks you are dangerous.;must parry 1x;Foe recovers, continues his defense by sweeping his weapon at your feet.;must parry 1x;Push foe, unbalancing him. You have initiative for 2 rounds.;+0H;Strong passing blow near foe's head. His violent evasion is not productive.;+3H, stun 1x
21;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
22;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
23;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
24;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
25;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
26;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
27;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
28;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
29;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
30;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
31;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
32;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
33;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
34;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
35;Almost get a grip on foe's arm. He avoids his mistake. You gain the initiative next round.;+3H;You grip foe's shield arm. Foe's strike towards your head makes you let go of him. He keeps a distance.;must parry @ -20;Collide with foe. You push him away and he stumbles back 5 feet. It went better than you could have hoped.;+2H, stun 1x;Hard, but poorly placed. Foe bounces back out of your grip. He looks like he does not recognize you.;+3H, stun 1x;Uncoordinated attack and a little luck, allows foe to escape your grasp. You have initiative for 2 rounds.;stun 1x
36;Grip to lower back. Foe wards off your attack and prepares for your next move.;must parry 1x;Grip fails, but bash does not. You unbalance your foe. You have the initiative.;+4H, must parry 1x;You attack is almost comical as you seek any grip you can get. All the tiny tugs finally have an effect on foe.;stun 1x, must parry 1x;Strike to foe's shield arm. If foe has no shield, you immobilize arm for 6 rounds.;with shield: +3H;Attack to upper leg. Foe spins to break free. He is disoriented badly. It takes a moment for him to see you.;stun no parry 1x
37;Grip to lower back. Foe wards off your attack and prepares for your next move.;must parry 1x;Grip fails, but bash does not. You unbalance your foe. You have the initiative.;+4H, must parry 1x;You attack is almost comical as you seek any grip you can get. All the tiny tugs finally have an effect on foe.;stun 1x, must parry 1x;Strike to foe's shield arm. If foe has no shield, you immobilize arm for 6 rounds.;with shield: +3H;Attack to upper leg. Foe spins to break free. He is disoriented badly. It takes a moment for him to see you.;stun no parry 1x
38;Grip to lower back. Foe wards off your attack and prepares for your next move.;must parry 1x;Grip fails, but bash does not. You unbalance your foe. You have the initiative.;+4H, must parry 1x;You attack is almost comical as you seek any grip you can get. All the tiny tugs finally have an effect on foe.;stun 1x, must parry 1x;Strike to foe's shield arm. If foe has no shield, you immobilize arm for 6 rounds.;with shield: +3H;Attack to upper leg. Foe spins to break free. He is disoriented badly. It takes a moment for him to see you.;stun no parry 1x
39;Grip to lower back. Foe wards off your attack and prepares for your next move.;must parry 1x;Grip fails, but bash does not. You unbalance your foe. You have the initiative.;+4H, must parry 1x;You attack is almost comical as you seek any grip you can get. All the tiny tugs finally have an effect on foe.;stun 1x, must parry 1x;Strike to foe's shield arm. If foe has no shield, you immobilize arm for 6 rounds.;with shield: +3H;Attack to upper leg. Foe spins to break free. He is disoriented badly. It takes a moment for him to see you.;stun no parry 1x
40;Grip to lower back. Foe wards off your attack and prepares for your next move.;must parry 1x;Grip fails, but bash does not. You unbalance your foe. You have the initiative.;+4H, must parry 1x;You attack is almost comical as you seek any grip you can get. All the tiny tugs finally have an effect on foe.;stun 1x, must parry 1x;Strike to foe's shield arm. If foe has no shield, you immobilize arm for 6 rounds.;with shield: +3H;Attack to upper leg. Foe spins to break free. He is disoriented badly. It takes a moment for him to see you.;stun no parry 1x
41;Grip to lower back. Foe wards off your attack and prepares for your next move.;must parry 1x;Grip fails, but bash does not. You unbalance your foe. You have the initiative.;+4H, must parry 1x;You attack is almost comical as you seek any grip you can get. All the tiny tugs finally have an effect on foe.;stun 1x, must parry 1x;Strike to foe's shield arm. If foe has no shield, you immobilize arm for 6 rounds.;with shield: +3H;Attack to upper leg. Foe spins to break free. He is disoriented badly. It takes a moment for him to see you.;stun no parry 1x
42;Grip to lower back. Foe wards off your attack and prepares for your next move.;must parry 1x;Grip fails, but bash does not. You unbalance your foe. You have the initiative.;+4H, must parry 1x;You attack is almost comical as you seek any grip you can get. All the tiny tugs finally have an effect on foe.;stun 1x, must parry 1x;Strike to foe's shield arm. If foe has no shield, you immobilize arm for 6 rounds.;with shield: +3H;Attack to upper leg. Foe spins to break free. He is disoriented badly. It takes a moment for him to see you.;stun no parry 1x
43;Grip to lower back. Foe wards off your attack and prepares for your next move.;must parry 1x;Grip fails, but bash does not. You unbalance your foe. You have the initiative.;+4H, must parry 1x;You attack is almost comical as you seek any grip you can get. All the tiny tugs finally have an effect on foe.;stun 1x, must parry 1x;Strike to foe's shield arm. If foe has no shield, you immobilize arm for 6 rounds.;with shield: +3H;Attack to upper leg. Foe spins to break free. He is disoriented badly. It takes a moment for him to see you.;stun no parry 1x
44;Grip to lower back. Foe wards off your attack and prepares for your next move.;must parry 1x;Grip fails, but bash does not. You unbalance your foe. You have the initiative.;+4H, must parry 1x;You attack is almost comical as you seek any grip you can get. All the tiny tugs finally have an effect on foe.;stun 1x, must parry 1x;Strike to foe's shield arm. If foe has no shield, you immobilize arm for 6 rounds.;with shield: +3H;Attack to upper leg. Foe spins to break free. He is disoriented badly. It takes a moment for him to see you.;stun no parry 1x
45;Grip to lower back. Foe wards off your attack and prepares for your next move.;must parry 1x;Grip fails, but bash does not. You unbalance your foe. You have the initiative.;+4H, must parry 1x;You attack is almost comical as you seek any grip you can get. All the tiny tugs finally have an effect on foe.;stun 1x, must parry 1x;Strike to foe's shield arm. If foe has no shield, you immobilize arm for 6 rounds.;with shield: +3H;Attack to upper leg. Foe spins to break free. He is disoriented badly. It takes a moment for him to see you.;stun no parry 1x
46;Hinder foe's weapon arm. Foe violently frees himself and takes a defensive stance.;stun 1x;Pull foe over, he breaks free. He is having trouble recovering. Your heart is broken.;+5H, stun 1x;Grab foe's waist. Your grip appeared to be strong, but now it is losing its advantage. Your foe is working free.;Foe @ -25 3x;Painful grip on foe's hand. You do not break anything, but he thinks so. You have initiative for 4 rounds.;Foe @ -30 3x;You and foe collide. He breaks your grip and stumbles away. You bounce back and miss a good opportunity.;stun no parry 2x, foe @ -75
47;Hinder foe's weapon arm. Foe violently frees himself and takes a defensive stance.;stun 1x;Pull foe over, he breaks free. He is having trouble recovering. Your heart is broken.;+5H, stun 1x;Grab foe's waist. Your grip appeared to be strong, but now it is losing its advantage. Your foe is working free.;Foe @ -25 3x;Painful grip on foe's hand. You do not break anything, but he thinks so. You have initiative for 4 rounds.;Foe @ -30 3x;You and foe collide. He breaks your grip and stumbles away. You bounce back and miss a good opportunity.;stun no parry 2x, foe @ -75
48;Hinder foe's weapon arm. Foe violently frees himself and takes a defensive stance.;stun 1x;Pull foe over, he breaks free. He is having trouble recovering. Your heart is broken.;+5H, stun 1x;Grab foe's waist. Your grip appeared to be strong, but now it is losing its advantage. Your foe is working free.;Foe @ -25 3x;Painful grip on foe's hand. You do not break anything, but he thinks so. You have initiative for 4 rounds.;Foe @ -30 3x;You and foe collide. He breaks your grip and stumbles away. You bounce back and miss a good opportunity.;stun no parry 2x, foe @ -75
49;Hinder foe's weapon arm. Foe violently frees himself and takes a defensive stance.;stun 1x;Pull foe over, he breaks free. He is having trouble recovering. Your heart is broken.;+5H, stun 1x;Grab foe's waist. Your grip appeared to be strong, but now it is losing its advantage. Your foe is working free.;Foe @ -25 3x;Painful grip on foe's hand. You do not break anything, but he thinks so. You have initiative for 4 rounds.;Foe @ -30 3x;You and foe collide. He breaks your grip and stumbles away. You bounce back and miss a good opportunity.;stun no parry 2x, foe @ -75
50;Hinder foe's weapon arm. Foe violently frees himself and takes a defensive stance.;stun 1x;Pull foe over, he breaks free. He is having trouble recovering. Your heart is broken.;+5H, stun 1x;Grab foe's waist. Your grip appeared to be strong, but now it is losing its advantage. Your foe is working free.;Foe @ -25 3x;Painful grip on foe's hand. You do not break anything, but he thinks so. You have initiative for 4 rounds.;Foe @ -30 3x;You and foe collide. He breaks your grip and stumbles away. You bounce back and miss a good opportunity.;stun no parry 2x, foe @ -75
51;You get in close and grab at foe's hair. He is daunted and steps back to escape your reach.;must parry @ -20;Grip to foe's garments. They rip and you lose a hopeful hold. Foe is carried back by his break-away.;+7H, stun 1x;Grapple foe's leg and try to lift it up off the ground. Foe slips away, but is off balance while recovering.;stun no parry 1x;Catch foe's waist garments and pull him in. He is in trouble. He seeks to strike your hand and break your hold.;Foe @ -50 3x;Grip to shield arm. Foe drops his shield as he wails in pain. You try to stay serious.;+5H, stun no parry 2x
52;You get in close and grab at foe's hair. He is daunted and steps back to escape your reach.;must parry @ -20;Grip to foe's garments. They rip and you lose a hopeful hold. Foe is carried back by his break-away.;+7H, stun 1x;Grapple foe's leg and try to lift it up off the ground. Foe slips away, but is off balance while recovering.;stun no parry 1x;Catch foe's waist garments and pull him in. He is in trouble. He seeks to strike your hand and break your hold.;Foe @ -50 3x;Grip to shield arm. Foe drops his shield as he wails in pain. You try to stay serious.;+5H, stun no parry 2x
53;You get in close and grab at foe's hair. He is daunted and steps back to escape your reach.;must parry @ -20;Grip to foe's garments. They rip and you lose a hopeful hold. Foe is carried back by his break-away.;+7H, stun 1x;Grapple foe's leg and try to lift it up off the ground. Foe slips away, but is off balance while recovering.;stun no parry 1x;Catch foe's waist garments and pull him in. He is in trouble. He seeks to strike your hand and break your hold.;Foe @ -50 3x;Grip to shield arm. Foe drops his shield as he wails in pain. You try to stay serious.;+5H, stun no parry 2x
54;You get in close and grab at foe's hair. He is daunted and steps back to escape your reach.;must parry @ -20;Grip to foe's garments. They rip and you lose a hopeful hold. Foe is carried back by his break-away.;+7H, stun 1x;Grapple foe's leg and try to lift it up off the ground. Foe slips away, but is off balance while recovering.;stun no parry 1x;Catch foe's waist garments and pull him in. He is in trouble. He seeks to strike your hand and break your hold.;Foe @ -50 3x;Grip to shield arm. Foe drops his shield as he wails in pain. You try to stay serious.;+5H, stun no parry 2x
55;You get in close and grab at foe's hair. He is daunted and steps back to escape your reach.;must parry @ -20;Grip to foe's garments. They rip and you lose a hopeful hold. Foe is carried back by his break-away.;+7H, stun 1x;Grapple foe's leg and try to lift it up off the ground. Foe slips away, but is off balance while recovering.;stun no parry 1x;Catch foe's waist garments and pull him in. He is in trouble. He seeks to strike your hand and break your hold.;Foe @ -50 3x;Grip to shield arm. Foe drops his shield as he wails in pain. You try to stay serious.;+5H, stun no parry 2x
56;Foe spins away and comes back to face you. He is unbalanced.;+3H, must parry;Foe spins out of your grasp. However, spin nullifies his counterattack.;stun no parry 1x;Short fingers render thigh hold ineffectual. Try lower next time.;+3H, stun no parry 1x;Grip foe's side and shake him like a rattle. He is disoriented, but gets free.;+6H, stun 3x;Grasp around foe's leg proves effective. Foe is unbalanced for a moment.;stun no parry 1x, foe @ -25 3x
57;Foe spins away and comes back to face you. He is unbalanced.;+3H, must parry;Foe spins out of your grasp. However, spin nullifies his counterattack.;stun no parry 1x;Short fingers render thigh hold ineffectual. Try lower next time.;+3H, stun no parry 1x;Grip foe's side and shake him like a rattle. He is disoriented, but gets free.;+6H, stun 3x;Grasp around foe's leg proves effective. Foe is unbalanced for a moment.;stun no parry 1x, foe @ -25 3x
58;Foe spins away and comes back to face you. He is unbalanced.;+3H, must parry;Foe spins out of your grasp. However, spin nullifies his counterattack.;stun no parry 1x;Short fingers render thigh hold ineffectual. Try lower next time.;+3H, stun no parry 1x;Grip foe's side and shake him like a rattle. He is disoriented, but gets free.;+6H, stun 3x;Grasp around foe's leg proves effective. Foe is unbalanced for a moment.;stun no parry 1x, foe @ -25 3x
59;Foe spins away and comes back to face you. He is unbalanced.;+3H, must parry;Foe spins out of your grasp. However, spin nullifies his counterattack.;stun no parry 1x;Short fingers render thigh hold ineffectual. Try lower next time.;+3H, stun no parry 1x;Grip foe's side and shake him like a rattle. He is disoriented, but gets free.;+6H, stun 3x;Grasp around foe's leg proves effective. Foe is unbalanced for a moment.;stun no parry 1x, foe @ -25 3x
60;Foe spins away and comes back to face you. He is unbalanced.;+3H, must parry;Foe spins out of your grasp. However, spin nullifies his counterattack.;stun no parry 1x;Short fingers render thigh hold ineffectual. Try lower next time.;+3H, stun no parry 1x;Grip foe's side and shake him like a rattle. He is disoriented, but gets free.;+6H, stun 3x;Grasp around foe's leg proves effective. Foe is unbalanced for a moment.;stun no parry 1x, foe @ -25 3x
61;Grip to arm gives foe a bruised bicep. Foe shakes free and prepares for your assault.;+3H, must parry @ -20;Slipping grasp around foe's waist is weak. He breaks your grip and stumbles out of your way.;stun 2x;Grab foe around waist. Just when you think your grip is iron, he begins to break free. You might still prevail.;+3H, foe @ -50 3x;Clumsy bear hug around foe. Foe can do little  to scape for the moment. Both his arms are pinned.;no parry 2x, must parry 1x;You find yourself on foe's shield side. If he has a shield, you are stymied.;w/o shield: +7H, stun no  parry 3x
62;Grip to arm gives foe a bruised bicep. Foe shakes free and prepares for your assault.;+3H, must parry @ -20;Slipping grasp around foe's waist is weak. He breaks your grip and stumbles out of your way.;stun 2x;Grab foe around waist. Just when you think your grip is iron, he begins to break free. You might still prevail.;+3H, foe @ -50 3x;Clumsy bear hug around foe. Foe can do little  to scape for the moment. Both his arms are pinned.;no parry 2x, must parry 1x;You find yourself on foe's shield side. If he has a shield, you are stymied.;w/o shield: +7H, stun no  parry 3x
63;Grip to arm gives foe a bruised bicep. Foe shakes free and prepares for your assault.;+3H, must parry @ -20;Slipping grasp around foe's waist is weak. He breaks your grip and stumbles out of your way.;stun 2x;Grab foe around waist. Just when you think your grip is iron, he begins to break free. You might still prevail.;+3H, foe @ -50 3x;Clumsy bear hug around foe. Foe can do little  to scape for the moment. Both his arms are pinned.;no parry 2x, must parry 1x;You find yourself on foe's shield side. If he has a shield, you are stymied.;w/o shield: +7H, stun no  parry 3x
64;Grip to arm gives foe a bruised bicep. Foe shakes free and prepares for your assault.;+3H, must parry @ -20;Slipping grasp around foe's waist is weak. He breaks your grip and stumbles out of your way.;stun 2x;Grab foe around waist. Just when you think your grip is iron, he begins to break free. You might still prevail.;+3H, foe @ -50 3x;Clumsy bear hug around foe. Foe can do little  to scape for the moment. Both his arms are pinned.;no parry 2x, must parry 1x;You find yourself on foe's shield side. If he has a shield, you are stymied.;w/o shield: +7H, stun no  parry 3x
65;Grip to arm gives foe a bruised bicep. Foe shakes free and prepares for your assault.;+3H, must parry @ -20;Slipping grasp around foe's waist is weak. He breaks your grip and stumbles out of your way.;stun 2x;Grab foe around waist. Just when you think your grip is iron, he begins to break free. You might still prevail.;+3H, foe @ -50 3x;Clumsy bear hug around foe. Foe can do little  to scape for the moment. Both his arms are pinned.;no parry 2x, must parry 1x;You find yourself on foe's shield side. If he has a shield, you are stymied.;w/o shield: +7H, stun no  parry 3x
66;Strike foe's weapon, disarming him. Foe fails to recover weapon. He has put himself in a bad spot.;+3H, stun 2x;You grab foe's weapon arm and make him drop it with a violent shake. Foe strains wrist trying to break free.;stun 2x, foe @ -25;Grab foe, he falls down and you follow. You knock him prone to stand back up. He is down foe 1 round.;+5H;Grab leg and flip foe to ground, pinning him. Prone and immobile for 2 rounds, he might surrender.;+6H;Grasp foe around neck and bring him to ground. Muscles and tendons tear. Foe is prone and immobilized for 3 rounds.;+3H, stun 1x
67;Passing chest strike. Foe eludes grapple, keeps defensive stance.;must parry 2x @ -20;Grip foe's neck. Push foe's chin back steadily. He should act soon, or...;Foe @ -10, -10 per rnd;Grab foe's shield arm. If foe has shield you grapple it. Until dropped: -50;w/o shield: foe @ -40 3x;Foe barely escapes immobilization, but must recover from the ordeal.;+7H, no parry 2x;You almost disarm foe and trip him. He uses weapon arm to prevent his fall.;stun no parry 2x, foe @ -75
68;Passing chest strike. Foe eludes grapple, keeps defensive stance.;must parry 2x @ -20;Grip foe's neck. Push foe's chin back steadily. He should act soon, or...;Foe @ -10, -10 per rnd;Grab foe's shield arm. If foe has shield you grapple it. Until dropped: -50;w/o shield: foe @ -40 3x;Foe barely escapes immobilization, but must recover from the ordeal.;+7H, no parry 2x;You almost disarm foe and trip him. He uses weapon arm to prevent his fall.;stun no parry 2x, foe @ -75
69;Passing chest strike. Foe eludes grapple, keeps defensive stance.;must parry 2x @ -20;Grip foe's neck. Push foe's chin back steadily. He should act soon, or...;Foe @ -10, -10 per rnd;Grab foe's shield arm. If foe has shield you grapple it. Until dropped: -50;w/o shield: foe @ -40 3x;Foe barely escapes immobilization, but must recover from the ordeal.;+7H, no parry 2x;You almost disarm foe and trip him. He uses weapon arm to prevent his fall.;stun no parry 2x, foe @ -75
70;Passing chest strike. Foe eludes grapple, keeps defensive stance.;must parry 2x @ -20;Grip foe's neck. Push foe's chin back steadily. He should act soon, or...;Foe @ -10, -10 per rnd;Grab foe's shield arm. If foe has shield you grapple it. Until dropped: -50;w/o shield: foe @ -40 3x;Foe barely escapes immobilization, but must recover from the ordeal.;+7H, no parry 2x;You almost disarm foe and trip him. He uses weapon arm to prevent his fall.;stun no parry 2x, foe @ -75
