0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
31;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
32;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
33;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
34;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
35;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
36;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
37;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
38;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
39;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
40;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
41;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
42;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
43;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
44;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
45;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
46;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
47;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
48;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
49;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
50;Foe jumps over your assault. He strikes out at you in defense.;,+4H,, foe @ -25,;Your sweep pushes foe to the side. He recovers at bay.;,+5H,, stun 1x,;,Sweep foe over. He does not fall. You look for a good opening,, while foe recovers.,;,+4H,, stun 2x,;,Foe's feet come out from under him. He makes a remarkable recovery,, but it's not that remarkable.,;,+5H,, stun no parry 1x,;You almost disarm foe. He bends down to recover his weapon. You have the advantage. Finish him.;,+7H,, stun no parry 2x,
51;Foe must step back 3 feet to avoid your sweep.;,+5H,, foe @ -30,;Throw knocks the wind out of foe. It fails to knock him down.;,+6H,, stun 1x,;,Steady grip sends foe stumbling. Your follow up misses,, but who is perfect?,;,+6H,, stun 2x,;You step in and grab foe. The impact breaks ribs. You fail to throw him down as planned.;,+6H,, stun 1x,, foe @ -20,;,Stumble foe in the direction of your choice 5 feet. Foe does not fall,, but he looks like he will.,;stun 3x
52;Foe must step back 3 feet to avoid your sweep.;,+5H,, foe @ -30,;Throw knocks the wind out of foe. It fails to knock him down.;,+6H,, stun 1x,;,Steady grip sends foe stumbling. Your follow up misses,, but who is perfect?,;,+6H,, stun 2x,;You step in and grab foe. The impact breaks ribs. You fail to throw him down as planned.;,+6H,, stun 1x,, foe @ -20,;,Stumble foe in the direction of your choice 5 feet. Foe does not fall,, but he looks like he will.,;stun 3x
53;Foe must step back 3 feet to avoid your sweep.;,+5H,, foe @ -30,;Throw knocks the wind out of foe. It fails to knock him down.;,+6H,, stun 1x,;,Steady grip sends foe stumbling. Your follow up misses,, but who is perfect?,;,+6H,, stun 2x,;You step in and grab foe. The impact breaks ribs. You fail to throw him down as planned.;,+6H,, stun 1x,, foe @ -20,;,Stumble foe in the direction of your choice 5 feet. Foe does not fall,, but he looks like he will.,;stun 3x
54;Foe must step back 3 feet to avoid your sweep.;,+5H,, foe @ -30,;Throw knocks the wind out of foe. It fails to knock him down.;,+6H,, stun 1x,;,Steady grip sends foe stumbling. Your follow up misses,, but who is perfect?,;,+6H,, stun 2x,;You step in and grab foe. The impact breaks ribs. You fail to throw him down as planned.;,+6H,, stun 1x,, foe @ -20,;,Stumble foe in the direction of your choice 5 feet. Foe does not fall,, but he looks like he will.,;stun 3x
55;Foe must step back 3 feet to avoid your sweep.;,+5H,, foe @ -30,;Throw knocks the wind out of foe. It fails to knock him down.;,+6H,, stun 1x,;,Steady grip sends foe stumbling. Your follow up misses,, but who is perfect?,;,+6H,, stun 2x,;You step in and grab foe. The impact breaks ribs. You fail to throw him down as planned.;,+6H,, stun 1x,, foe @ -20,;,Stumble foe in the direction of your choice 5 feet. Foe does not fall,, but he looks like he will.,;stun 3x
56;,You try to throw foe,, but he breaks free. Foe is unbalanced.,;,+6H,, stun 1x,;Grip foe's weapon hand and sprain his finger. Foe keeps hold of his weapon.;,stun 1x,, foe @ -10,;Your attack breaks foe's guard down. You see an open spot.;stun no parry 1x;Sweep nearly knocks foe down. Foe drops his guard to avoid falling.;,+7H,, stun no parry 1x,;Your sweep is effective. Foe is sent reeling. Why he does not fall is a mystery.;,+H,, stun 3x,
57;,You try to throw foe,, but he breaks free. Foe is unbalanced.,;,+6H,, stun 1x,;Grip foe's weapon hand and sprain his finger. Foe keeps hold of his weapon.;,stun 1x,, foe @ -10,;Your attack breaks foe's guard down. You see an open spot.;stun no parry 1x;Sweep nearly knocks foe down. Foe drops his guard to avoid falling.;,+7H,, stun no parry 1x,;Your sweep is effective. Foe is sent reeling. Why he does not fall is a mystery.;,+H,, stun 3x,
58;,You try to throw foe,, but he breaks free. Foe is unbalanced.,;,+6H,, stun 1x,;Grip foe's weapon hand and sprain his finger. Foe keeps hold of his weapon.;,stun 1x,, foe @ -10,;Your attack breaks foe's guard down. You see an open spot.;stun no parry 1x;Sweep nearly knocks foe down. Foe drops his guard to avoid falling.;,+7H,, stun no parry 1x,;Your sweep is effective. Foe is sent reeling. Why he does not fall is a mystery.;,+H,, stun 3x,
59;,You try to throw foe,, but he breaks free. Foe is unbalanced.,;,+6H,, stun 1x,;Grip foe's weapon hand and sprain his finger. Foe keeps hold of his weapon.;,stun 1x,, foe @ -10,;Your attack breaks foe's guard down. You see an open spot.;stun no parry 1x;Sweep nearly knocks foe down. Foe drops his guard to avoid falling.;,+7H,, stun no parry 1x,;Your sweep is effective. Foe is sent reeling. Why he does not fall is a mystery.;,+H,, stun 3x,
60;,You try to throw foe,, but he breaks free. Foe is unbalanced.,;,+6H,, stun 1x,;Grip foe's weapon hand and sprain his finger. Foe keeps hold of his weapon.;,stun 1x,, foe @ -10,;Your attack breaks foe's guard down. You see an open spot.;stun no parry 1x;Sweep nearly knocks foe down. Foe drops his guard to avoid falling.;,+7H,, stun no parry 1x,;Your sweep is effective. Foe is sent reeling. Why he does not fall is a mystery.;,+H,, stun 3x,
61;,You throw foe down,, but he gets up quickly. Your killing blow misses him.,;,+7H,, stun 1x,;,You grip foe's weapon arm,, pulling and twisting it brutally. Foe breaks free,, he is bruised badly.,;,+3H,, stun 1x,, foe @ -20,;,Your sweep results in an attempt at throwing foe's arm. He is disarmed. His arm,, however,, stays attached.,;,+3H,, stun 1x,;,You attempt a throw. Foe avoids your main attack,, but you steal his weapon when he blocks with it.,;stun 2x;Excellent throw sends foe falling on his weapon arm. He is disarmed. He must roll over to stand. You should have fun.;stun 3x
62;,You throw foe down,, but he gets up quickly. Your killing blow misses him.,;,+7H,, stun 1x,;,You grip foe's weapon arm,, pulling and twisting it brutally. Foe breaks free,, he is bruised badly.,;,+3H,, stun 1x,, foe @ -20,;,Your sweep results in an attempt at throwing foe's arm. He is disarmed. His arm,, however,, stays attached.,;,+3H,, stun 1x,;,You attempt a throw. Foe avoids your main attack,, but you steal his weapon when he blocks with it.,;stun 2x;Excellent throw sends foe falling on his weapon arm. He is disarmed. He must roll over to stand. You should have fun.;stun 3x
63;,You throw foe down,, but he gets up quickly. Your killing blow misses him.,;,+7H,, stun 1x,;,You grip foe's weapon arm,, pulling and twisting it brutally. Foe breaks free,, he is bruised badly.,;,+3H,, stun 1x,, foe @ -20,;,Your sweep results in an attempt at throwing foe's arm. He is disarmed. His arm,, however,, stays attached.,;,+3H,, stun 1x,;,You attempt a throw. Foe avoids your main attack,, but you steal his weapon when he blocks with it.,;stun 2x;Excellent throw sends foe falling on his weapon arm. He is disarmed. He must roll over to stand. You should have fun.;stun 3x
64;,You throw foe down,, but he gets up quickly. Your killing blow misses him.,;,+7H,, stun 1x,;,You grip foe's weapon arm,, pulling and twisting it brutally. Foe breaks free,, he is bruised badly.,;,+3H,, stun 1x,, foe @ -20,;,Your sweep results in an attempt at throwing foe's arm. He is disarmed. His arm,, however,, stays attached.,;,+3H,, stun 1x,;,You attempt a throw. Foe avoids your main attack,, but you steal his weapon when he blocks with it.,;stun 2x;Excellent throw sends foe falling on his weapon arm. He is disarmed. He must roll over to stand. You should have fun.;stun 3x
65;,You throw foe down,, but he gets up quickly. Your killing blow misses him.,;,+7H,, stun 1x,;,You grip foe's weapon arm,, pulling and twisting it brutally. Foe breaks free,, he is bruised badly.,;,+3H,, stun 1x,, foe @ -20,;,Your sweep results in an attempt at throwing foe's arm. He is disarmed. His arm,, however,, stays attached.,;,+3H,, stun 1x,;,You attempt a throw. Foe avoids your main attack,, but you steal his weapon when he blocks with it.,;stun 2x;Excellent throw sends foe falling on his weapon arm. He is disarmed. He must roll over to stand. You should have fun.;stun 3x
66;,Throw dislocates foe's shield shoulder. Foe does not fall,, but his shoulder is in pain.,;,stun no parry 3x,, foe @ -50,;,Nifty throw. You have foe pinned,, on his face,, and in an arm lock. Foe is disarmed and immobilized.,;+9H;Strike to foe's shins sweep his legs up and behind him. Foe comes down on his knees. Both are broken. Foe falls over helpless.;,+15H,, stun no parry 6x,, foe @ -80,;,You use your body to lift foe up and throw him into the ground. He hits head first. If he has a helm,, he is knocked out. If no helm,, foe is paralyzed from the waist down.,;,+10H,, stun no parry 4x,, foe @ -90,;,Perfect throw sends foe flying over your shoulder. He lands how you want him to,, within 10 feet. If you like,, he dies on impact. If not,, he is knocked out.,;+0H
67;,Hard,, but less than smooth throw attempt. Foe is unbalanced.,;,+7H,, stun 2x,;Strong throw. Foe is left a second behind you and confused. You have initiative for 6 rounds.;+8H;Glancing kick to foe's face. Your recovery strikes foe in side. Foe steps back 5 feet to recover.;,stun 2x,, foe @ -10,;You make it look simple. You throw foe down on his shield shoulder. Break collar bone and arm. Arm is useless.;,+5H,, stun no parry 2x,, foe @ -30,;,Foe lands on shield arm. If foe has shield,, it is broken. If foe has no shield,, arm is shattered and useless.,;,with shield: +20H | w/o: +10H,, stun no parry 2x,, foe @ -20,
