0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
20;Foe steps back defensively.;+1H, must parry 1x;Foe steps back and avoids the worst.;+2H, must parry @ -10;Blow to foe's side. If foe has a belt it is severed.;+3H, must parry @ -20;Precise strike to foe's side. You have the initiative for 1 round.;Foe is at -10;Foe vibrates from the impact of the strike.;stun 1x, (+20 Next Attack)
21;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
22;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
23;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
24;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
25;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
26;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
27;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
28;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
29;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
30;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
31;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
32;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
33;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
34;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
35;Convince foe of his peril by just missing his abdomen.;+2H, must parry 1x, (+10 Next Attack);Foe is uncertain about your next attack. He choses to let you make the first move (you gain the initiative).;+2H, must parry 2x;Strike crosses foe's head. If he has a helm it is knocked off and dented.;stun 1x, bleeding 1x;You wound foe in hip. Strike strips equipment from right side of waist.;stun 1x, bleeding 2x;Deal foe a measurable blow to his side. Any one container on your foe now has a hole in it.;+2H, bleeding 2x, foe @ -10
36;Nick foe's calf with long follow through.;bleeding 1x;Cheap shot to foe's shin.;With leg greaves: +5H, must parry 1x | w/o: +2H, bleeding 1x;Strike along foe's calf. The damage takes a moment to show.;bleeding 2x;Close call for foe's groin.;with waist armor: +4H, stun 1x | w/o: bleeding 3x;Strike to upper leg rips clothing.;with leg armor: +3H, must parry 1x | w/o: +2H, bleeding 3x
37;Nick foe's calf with long follow through.;bleeding 1x;Cheap shot to foe's shin.;With leg greaves: +5H, must parry 1x | w/o: +2H, bleeding 1x;Strike along foe's calf. The damage takes a moment to show.;bleeding 2x;Close call for foe's groin.;with waist armor: +4H, stun 1x | w/o: bleeding 3x;Strike to upper leg rips clothing.;with leg armor: +3H, must parry 1x | w/o: +2H, bleeding 3x
38;Nick foe's calf with long follow through.;bleeding 1x;Cheap shot to foe's shin.;With leg greaves: +5H, must parry 1x | w/o: +2H, bleeding 1x;Strike along foe's calf. The damage takes a moment to show.;bleeding 2x;Close call for foe's groin.;with waist armor: +4H, stun 1x | w/o: bleeding 3x;Strike to upper leg rips clothing.;with leg armor: +3H, must parry 1x | w/o: +2H, bleeding 3x
39;Nick foe's calf with long follow through.;bleeding 1x;Cheap shot to foe's shin.;With leg greaves: +5H, must parry 1x | w/o: +2H, bleeding 1x;Strike along foe's calf. The damage takes a moment to show.;bleeding 2x;Close call for foe's groin.;with waist armor: +4H, stun 1x | w/o: bleeding 3x;Strike to upper leg rips clothing.;with leg armor: +3H, must parry 1x | w/o: +2H, bleeding 3x
40;Nick foe's calf with long follow through.;bleeding 1x;Cheap shot to foe's shin.;With leg greaves: +5H, must parry 1x | w/o: +2H, bleeding 1x;Strike along foe's calf. The damage takes a moment to show.;bleeding 2x;Close call for foe's groin.;with waist armor: +4H, stun 1x | w/o: bleeding 3x;Strike to upper leg rips clothing.;with leg armor: +3H, must parry 1x | w/o: +2H, bleeding 3x
41;Nick foe's calf with long follow through.;bleeding 1x;Cheap shot to foe's shin.;With leg greaves: +5H, must parry 1x | w/o: +2H, bleeding 1x;Strike along foe's calf. The damage takes a moment to show.;bleeding 2x;Close call for foe's groin.;with waist armor: +4H, stun 1x | w/o: bleeding 3x;Strike to upper leg rips clothing.;with leg armor: +3H, must parry 1x | w/o: +2H, bleeding 3x
42;Nick foe's calf with long follow through.;bleeding 1x;Cheap shot to foe's shin.;With leg greaves: +5H, must parry 1x | w/o: +2H, bleeding 1x;Strike along foe's calf. The damage takes a moment to show.;bleeding 2x;Close call for foe's groin.;with waist armor: +4H, stun 1x | w/o: bleeding 3x;Strike to upper leg rips clothing.;with leg armor: +3H, must parry 1x | w/o: +2H, bleeding 3x
43;Nick foe's calf with long follow through.;bleeding 1x;Cheap shot to foe's shin.;With leg greaves: +5H, must parry 1x | w/o: +2H, bleeding 1x;Strike along foe's calf. The damage takes a moment to show.;bleeding 2x;Close call for foe's groin.;with waist armor: +4H, stun 1x | w/o: bleeding 3x;Strike to upper leg rips clothing.;with leg armor: +3H, must parry 1x | w/o: +2H, bleeding 3x
44;Nick foe's calf with long follow through.;bleeding 1x;Cheap shot to foe's shin.;With leg greaves: +5H, must parry 1x | w/o: +2H, bleeding 1x;Strike along foe's calf. The damage takes a moment to show.;bleeding 2x;Close call for foe's groin.;with waist armor: +4H, stun 1x | w/o: bleeding 3x;Strike to upper leg rips clothing.;with leg armor: +3H, must parry 1x | w/o: +2H, bleeding 3x
45;Nick foe's calf with long follow through.;bleeding 1x;Cheap shot to foe's shin.;With leg greaves: +5H, must parry 1x | w/o: +2H, bleeding 1x;Strike along foe's calf. The damage takes a moment to show.;bleeding 2x;Close call for foe's groin.;with waist armor: +4H, stun 1x | w/o: bleeding 3x;Strike to upper leg rips clothing.;with leg armor: +3H, must parry 1x | w/o: +2H, bleeding 3x
46;Foe's evasion exposes his back to your strike.;+2H, must parry @ -30;Blow to back damages equipment worn there.;stun 1x, bleeding 1x;Lower back strike sends foe reeling. His guard is still up.;stun 2x, bleeding 1x;Light strike pins foe's weapon arm to his side.;+6H, stun no parry 1x;Strike to side. If for has no armor, the blow tears open and exposes skin.;With abdomen armor: +8H, stun 1x, bleeding 1x | w/o:+4H, stun no parry 1x, bleeding 4x
47;Foe's evasion exposes his back to your strike.;+2H, must parry @ -30;Blow to back damages equipment worn there.;stun 1x, bleeding 1x;Lower back strike sends foe reeling. His guard is still up.;stun 2x, bleeding 1x;Light strike pins foe's weapon arm to his side.;+6H, stun no parry 1x;Strike to side. If for has no armor, the blow tears open and exposes skin.;With abdomen armor: +8H, stun 1x, bleeding 1x | w/o:+4H, stun no parry 1x, bleeding 4x
48;Foe's evasion exposes his back to your strike.;+2H, must parry @ -30;Blow to back damages equipment worn there.;stun 1x, bleeding 1x;Lower back strike sends foe reeling. His guard is still up.;stun 2x, bleeding 1x;Light strike pins foe's weapon arm to his side.;+6H, stun no parry 1x;Strike to side. If for has no armor, the blow tears open and exposes skin.;With abdomen armor: +8H, stun 1x, bleeding 1x | w/o:+4H, stun no parry 1x, bleeding 4x
49;Foe's evasion exposes his back to your strike.;+2H, must parry @ -30;Blow to back damages equipment worn there.;stun 1x, bleeding 1x;Lower back strike sends foe reeling. His guard is still up.;stun 2x, bleeding 1x;Light strike pins foe's weapon arm to his side.;+6H, stun no parry 1x;Strike to side. If for has no armor, the blow tears open and exposes skin.;With abdomen armor: +8H, stun 1x, bleeding 1x | w/o:+4H, stun no parry 1x, bleeding 4x
50;Foe's evasion exposes his back to your strike.;+2H, must parry @ -30;Blow to back damages equipment worn there.;stun 1x, bleeding 1x;Lower back strike sends foe reeling. His guard is still up.;stun 2x, bleeding 1x;Light strike pins foe's weapon arm to his side.;+6H, stun no parry 1x;Strike to side. If for has no armor, the blow tears open and exposes skin.;With abdomen armor: +8H, stun 1x, bleeding 1x | w/o:+4H, stun no parry 1x, bleeding 4x
51;Strike to foe's chest and he looks impressed.;Foe @ -20, bleeding 2x;Solid strike to foe's chest. Blood from wound ruins any heraldry.;+3H, bleeding 2x, must parry 2x;Strike towards chest. If foe has a shield, it is out of position for the rest of the round.;+3H, stun 2x, bleeding 2x;Solid chest strike leaves bruises and blood.;+5H, must parry 1x, bleeding 3x, foe @ -15;Foe goes low to evade your attack. Strike takes foe down on one knee. Finish him.;+5H, stun no parry 1x, foe @ -10
52;Strike to foe's chest and he looks impressed.;Foe @ -20, bleeding 2x;Solid strike to foe's chest. Blood from wound ruins any heraldry.;+3H, bleeding 2x, must parry 2x;Strike towards chest. If foe has a shield, it is out of position for the rest of the round.;+3H, stun 2x, bleeding 2x;Solid chest strike leaves bruises and blood.;+5H, must parry 1x, bleeding 3x, foe @ -15;Foe goes low to evade your attack. Strike takes foe down on one knee. Finish him.;+5H, stun no parry 1x, foe @ -10
53;Strike to foe's chest and he looks impressed.;Foe @ -20, bleeding 2x;Solid strike to foe's chest. Blood from wound ruins any heraldry.;+3H, bleeding 2x, must parry 2x;Strike towards chest. If foe has a shield, it is out of position for the rest of the round.;+3H, stun 2x, bleeding 2x;Solid chest strike leaves bruises and blood.;+5H, must parry 1x, bleeding 3x, foe @ -15;Foe goes low to evade your attack. Strike takes foe down on one knee. Finish him.;+5H, stun no parry 1x, foe @ -10
54;Strike to foe's chest and he looks impressed.;Foe @ -20, bleeding 2x;Solid strike to foe's chest. Blood from wound ruins any heraldry.;+3H, bleeding 2x, must parry 2x;Strike towards chest. If foe has a shield, it is out of position for the rest of the round.;+3H, stun 2x, bleeding 2x;Solid chest strike leaves bruises and blood.;+5H, must parry 1x, bleeding 3x, foe @ -15;Foe goes low to evade your attack. Strike takes foe down on one knee. Finish him.;+5H, stun no parry 1x, foe @ -10
55;Strike to foe's chest and he looks impressed.;Foe @ -20, bleeding 2x;Solid strike to foe's chest. Blood from wound ruins any heraldry.;+3H, bleeding 2x, must parry 2x;Strike towards chest. If foe has a shield, it is out of position for the rest of the round.;+3H, stun 2x, bleeding 2x;Solid chest strike leaves bruises and blood.;+5H, must parry 1x, bleeding 3x, foe @ -15;Foe goes low to evade your attack. Strike takes foe down on one knee. Finish him.;+5H, stun no parry 1x, foe @ -10
56;Minor thigh wound. It could have been better.;+2H, stun 1x, bleeding 2x;Thigh wound does some damage.;+3H, stun no parry 1x, bleeding 2x;Strike to foe's thigh.;With leg armor: +8H, stun no parry 1x, bleeding 1x | w/o: +5H, stun 2x, bleeding 2x, foe @ -10;Strike foe in abdomen.;With abdomen armor: +5H, no parry 2x | w/o: +3H, stun no parry 1x, bleeding 3x;Blow to foe's side. He stumbles to your right 10 feet.;+6H, stun no parry 1x, bleeding 5x
57;Minor thigh wound. It could have been better.;+2H, stun 1x, bleeding 2x;Thigh wound does some damage.;+3H, stun no parry 1x, bleeding 2x;Strike to foe's thigh.;With leg armor: +8H, stun no parry 1x, bleeding 1x | w/o: +5H, stun 2x, bleeding 2x, foe @ -10;Strike foe in abdomen.;With abdomen armor: +5H, no parry 2x | w/o: +3H, stun no parry 1x, bleeding 3x;Blow to foe's side. He stumbles to your right 10 feet.;+6H, stun no parry 1x, bleeding 5x
58;Minor thigh wound. It could have been better.;+2H, stun 1x, bleeding 2x;Thigh wound does some damage.;+3H, stun no parry 1x, bleeding 2x;Strike to foe's thigh.;With leg armor: +8H, stun no parry 1x, bleeding 1x | w/o: +5H, stun 2x, bleeding 2x, foe @ -10;Strike foe in abdomen.;With abdomen armor: +5H, no parry 2x | w/o: +3H, stun no parry 1x, bleeding 3x;Blow to foe's side. He stumbles to your right 10 feet.;+6H, stun no parry 1x, bleeding 5x
59;Minor thigh wound. It could have been better.;+2H, stun 1x, bleeding 2x;Thigh wound does some damage.;+3H, stun no parry 1x, bleeding 2x;Strike to foe's thigh.;With leg armor: +8H, stun no parry 1x, bleeding 1x | w/o: +5H, stun 2x, bleeding 2x, foe @ -10;Strike foe in abdomen.;With abdomen armor: +5H, no parry 2x | w/o: +3H, stun no parry 1x, bleeding 3x;Blow to foe's side. He stumbles to your right 10 feet.;+6H, stun no parry 1x, bleeding 5x
60;Minor thigh wound. It could have been better.;+2H, stun 1x, bleeding 2x;Thigh wound does some damage.;+3H, stun no parry 1x, bleeding 2x;Strike to foe's thigh.;With leg armor: +8H, stun no parry 1x, bleeding 1x | w/o: +5H, stun 2x, bleeding 2x, foe @ -10;Strike foe in abdomen.;With abdomen armor: +5H, no parry 2x | w/o: +3H, stun no parry 1x, bleeding 3x;Blow to foe's side. He stumbles to your right 10 feet.;+6H, stun no parry 1x, bleeding 5x
61;Minor forearm wound numbs foe's grip.;+2H, bleeding 2x, foe @ -10;Forearm strike shakes foe up. Foe attempts a recovery.;+2H, stun 1x, bleeding 2x, foe @ -10;Solid strike to foe's right forearm.;With arm greaves: +5H, stun no parry 2x | w/o: +3H, stun 2x, bleeding 2x, foe @ -10;Blow to foe's weapon arm. Arm is numb.;+3H, stun 2x, bleeding 3x, foe @ -10;Catch foe's forearm. The wound opens up nicely. Foe is is pain.;+5H, stun 2x, bleeding 3x, foe @ -15
62;Minor forearm wound numbs foe's grip.;+2H, bleeding 2x, foe @ -10;Forearm strike shakes foe up. Foe attempts a recovery.;+2H, stun 1x, bleeding 2x, foe @ -10;Solid strike to foe's right forearm.;With arm greaves: +5H, stun no parry 2x | w/o: +3H, stun 2x, bleeding 2x, foe @ -10;Blow to foe's weapon arm. Arm is numb.;+3H, stun 2x, bleeding 3x, foe @ -10;Catch foe's forearm. The wound opens up nicely. Foe is is pain.;+5H, stun 2x, bleeding 3x, foe @ -15
63;Minor forearm wound numbs foe's grip.;+2H, bleeding 2x, foe @ -10;Forearm strike shakes foe up. Foe attempts a recovery.;+2H, stun 1x, bleeding 2x, foe @ -10;Solid strike to foe's right forearm.;With arm greaves: +5H, stun no parry 2x | w/o: +3H, stun 2x, bleeding 2x, foe @ -10;Blow to foe's weapon arm. Arm is numb.;+3H, stun 2x, bleeding 3x, foe @ -10;Catch foe's forearm. The wound opens up nicely. Foe is is pain.;+5H, stun 2x, bleeding 3x, foe @ -15
64;Minor forearm wound numbs foe's grip.;+2H, bleeding 2x, foe @ -10;Forearm strike shakes foe up. Foe attempts a recovery.;+2H, stun 1x, bleeding 2x, foe @ -10;Solid strike to foe's right forearm.;With arm greaves: +5H, stun no parry 2x | w/o: +3H, stun 2x, bleeding 2x, foe @ -10;Blow to foe's weapon arm. Arm is numb.;+3H, stun 2x, bleeding 3x, foe @ -10;Catch foe's forearm. The wound opens up nicely. Foe is is pain.;+5H, stun 2x, bleeding 3x, foe @ -15
65;Minor forearm wound numbs foe's grip.;+2H, bleeding 2x, foe @ -10;Forearm strike shakes foe up. Foe attempts a recovery.;+2H, stun 1x, bleeding 2x, foe @ -10;Solid strike to foe's right forearm.;With arm greaves: +5H, stun no parry 2x | w/o: +3H, stun 2x, bleeding 2x, foe @ -10;Blow to foe's weapon arm. Arm is numb.;+3H, stun 2x, bleeding 3x, foe @ -10;Catch foe's forearm. The wound opens up nicely. Foe is is pain.;+5H, stun 2x, bleeding 3x, foe @ -15
66;Strike to foe's shield shoulder. Arm is useless. That must really hurt!;stun 3x, (+10 Next Attack);Foe blocks your attack with his elbow. Elbow is shattered. Shield arm is useless.;+3H, stun 4x, no parry 2x;Strike shatters foe's knee. Foe crumbles to the ground. He is down for 3 rounds.;stun no parry 2x, foe @ -90;Strike to head kills foe, if he has no helm. If he has a helm he is knocked out for 6 hours.;+10H;Strike through both of foe's lungs. Foe drops and passes out. He dies 6 rounds later.;(+10 Next Attack)
67;Strike along foe's neck.;+5H, stun 3x, no parry 1x;Strike to foe's neck. It's not enough for a kill.;stun 2x, bleeding 3x, foe @ -5;Strike along foe's neck. Foe is frantic to evade death.;stun 4x, no parry 2x, (+15 Next Attack);Strike down foe's defenses with a blow to both arms.;+3H, stun no parry 2x, foe @ -20;Shot raises foe's arm up, severing many muscles and tendons. Arm is useless.;stun 6x, bleeding 3x
68;Strike along foe's neck.;+5H, stun 3x, no parry 1x;Strike to foe's neck. It's not enough for a kill.;stun 2x, bleeding 3x, foe @ -5;Strike along foe's neck. Foe is frantic to evade death.;stun 4x, no parry 2x, (+15 Next Attack);Strike down foe's defenses with a blow to both arms.;+3H, stun no parry 2x, foe @ -20;Shot raises foe's arm up, severing many muscles and tendons. Arm is useless.;stun 6x, bleeding 3x
69;Strike along foe's neck.;+5H, stun 3x, no parry 1x;Strike to foe's neck. It's not enough for a kill.;stun 2x, bleeding 3x, foe @ -5;Strike along foe's neck. Foe is frantic to evade death.;stun 4x, no parry 2x, (+15 Next Attack);Strike down foe's defenses with a blow to both arms.;+3H, stun no parry 2x, foe @ -20;Shot raises foe's arm up, severing many muscles and tendons. Arm is useless.;stun 6x, bleeding 3x
70;Strike along foe's neck.;+5H, stun 3x, no parry 1x;Strike to foe's neck. It's not enough for a kill.;stun 2x, bleeding 3x, foe @ -5;Strike along foe's neck. Foe is frantic to evade death.;stun 4x, no parry 2x, (+15 Next Attack);Strike down foe's defenses with a blow to both arms.;+3H, stun no parry 2x, foe @ -20;Shot raises foe's arm up, severing many muscles and tendons. Arm is useless.;stun 6x, bleeding 3x
71;Strike to lower leg.;With leg greaves: +5H, no parry 3x, foe @ -10 | w/o: +3H, stun no parry 1x, foe @ -25;Strike to foe's calf. Slash muscle. Foe almost falls down.;+3H, stun no parry 2x, foe @ -40;Destructive strike to lower leg. If foe has leg armor, it is torn free.;+5H, stun no parry 2x, foe @ -50;Excellent blow to lower leg slashes muscles and cartilage. Foe falls prone.;+6H, stun no parry 2x, foe @ -50;Strike plunges into leg with deadly effect. Foe drops, gripping his leg in pain.;stun no parry 3x, foe @ -75
72;Strike to lower leg.;With leg greaves: +5H, no parry 3x, foe @ -10 | w/o: +3H, stun no parry 1x, foe @ -25;Strike to foe's calf. Slash muscle. Foe almost falls down.;+3H, stun no parry 2x, foe @ -40;Destructive strike to lower leg. If foe has leg armor, it is torn free.;+5H, stun no parry 2x, foe @ -50;Excellent blow to lower leg slashes muscles and cartilage. Foe falls prone.;+6H, stun no parry 2x, foe @ -50;Strike plunges into leg with deadly effect. Foe drops, gripping his leg in pain.;stun no parry 3x, foe @ -75
73;Strike to lower leg.;With leg greaves: +5H, no parry 3x, foe @ -10 | w/o: +3H, stun no parry 1x, foe @ -25;Strike to foe's calf. Slash muscle. Foe almost falls down.;+3H, stun no parry 2x, foe @ -40;Destructive strike to lower leg. If foe has leg armor, it is torn free.;+5H, stun no parry 2x, foe @ -50;Excellent blow to lower leg slashes muscles and cartilage. Foe falls prone.;+6H, stun no parry 2x, foe @ -50;Strike plunges into leg with deadly effect. Foe drops, gripping his leg in pain.;stun no parry 3x, foe @ -75
