0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
14;You maneuver for a better position. You have initiative.;+3H;Blow to shoulder. Foe steps back and yields the initiative to you.;+0H;Forceful. Foe steps back. You have initiative.;+5H;Kick foe's side. He stumbles out of the way. You have initiative.;+0H;You strike foe to unbalance him before you attempt a killing blow.;+7H, stun 1x
15;You maneuver for a better position. You have initiative.;+3H;Blow to shoulder. Foe steps back and yields the initiative to you.;+0H;Forceful. Foe steps back. You have initiative.;+5H;Kick foe's side. He stumbles out of the way. You have initiative.;+0H;You strike foe to unbalance him before you attempt a killing blow.;+7H, stun 1x
16;You take an open shot to foe's side. You have initiative.;+4H;Good shot! You have initiative for 2 rounds.;+5H;Hard strike. Foe lashes out to avoid your next attack.;+6H, must parry 1x;Foe blocks your attack. He falls back to recover from your onslaught.;+8H, must parry @ -10;Snappy double shot to ribs. Crack! Ribs are fractured.;+5H, stun 1x, foe @ -10
17;You take an open shot to foe's side. You have initiative.;+4H;Good shot! You have initiative for 2 rounds.;+5H;Hard strike. Foe lashes out to avoid your next attack.;+6H, must parry 1x;Foe blocks your attack. He falls back to recover from your onslaught.;+8H, must parry @ -10;Snappy double shot to ribs. Crack! Ribs are fractured.;+5H, stun 1x, foe @ -10
18;You take an open shot to foe's side. You have initiative.;+4H;Good shot! You have initiative for 2 rounds.;+5H;Hard strike. Foe lashes out to avoid your next attack.;+6H, must parry 1x;Foe blocks your attack. He falls back to recover from your onslaught.;+8H, must parry @ -10;Snappy double shot to ribs. Crack! Ribs are fractured.;+5H, stun 1x, foe @ -10
19;You take an open shot to foe's side. You have initiative.;+4H;Good shot! You have initiative for 2 rounds.;+5H;Hard strike. Foe lashes out to avoid your next attack.;+6H, must parry 1x;Foe blocks your attack. He falls back to recover from your onslaught.;+8H, must parry @ -10;Snappy double shot to ribs. Crack! Ribs are fractured.;+5H, stun 1x, foe @ -10
20;You take an open shot to foe's side. You have initiative.;+4H;Good shot! You have initiative for 2 rounds.;+5H;Hard strike. Foe lashes out to avoid your next attack.;+6H, must parry 1x;Foe blocks your attack. He falls back to recover from your onslaught.;+8H, must parry @ -10;Snappy double shot to ribs. Crack! Ribs are fractured.;+5H, stun 1x, foe @ -10
21;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
22;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
23;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
24;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
25;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
26;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
27;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
28;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
29;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
30;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
31;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
32;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
33;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
34;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
35;Light, but well placed strike. You are already starting your next attack.;+5H, must parry 1x;Strong, but poorly aimed strike forces for to defend himself energetically.;+6H, must parry 1x;Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp.;+6H, stun 1x;Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds.;+3H, stun 1x;Side strike jars kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain.;Foe @ -20
36;Mild strike to foe's chest. He can see your next strike coming and he attempts to block it.;+6H, must parry @ -10;Chest strike. Foe makes a strange noise on impact. He blocks and recovers.;+7H, must parry @ -20;Clever faint finds an opening in foe's guard. Your strike is light and fast. Bruise foe's chest.;+8H, stun 1x;Chest strike. Foe falls forward onto one knee in front of you. His guards is down for a moment.;+5H, stun no parry 1x;Strike is solid. It turns foe around. You have a clean shot at foe's back next round, if you hurry.;stun 1x
37;Mild strike to foe's chest. He can see your next strike coming and he attempts to block it.;+6H, must parry @ -10;Chest strike. Foe makes a strange noise on impact. He blocks and recovers.;+7H, must parry @ -20;Clever faint finds an opening in foe's guard. Your strike is light and fast. Bruise foe's chest.;+8H, stun 1x;Chest strike. Foe falls forward onto one knee in front of you. His guards is down for a moment.;+5H, stun no parry 1x;Strike is solid. It turns foe around. You have a clean shot at foe's back next round, if you hurry.;stun 1x
38;Mild strike to foe's chest. He can see your next strike coming and he attempts to block it.;+6H, must parry @ -10;Chest strike. Foe makes a strange noise on impact. He blocks and recovers.;+7H, must parry @ -20;Clever faint finds an opening in foe's guard. Your strike is light and fast. Bruise foe's chest.;+8H, stun 1x;Chest strike. Foe falls forward onto one knee in front of you. His guards is down for a moment.;+5H, stun no parry 1x;Strike is solid. It turns foe around. You have a clean shot at foe's back next round, if you hurry.;stun 1x
39;Mild strike to foe's chest. He can see your next strike coming and he attempts to block it.;+6H, must parry @ -10;Chest strike. Foe makes a strange noise on impact. He blocks and recovers.;+7H, must parry @ -20;Clever faint finds an opening in foe's guard. Your strike is light and fast. Bruise foe's chest.;+8H, stun 1x;Chest strike. Foe falls forward onto one knee in front of you. His guards is down for a moment.;+5H, stun no parry 1x;Strike is solid. It turns foe around. You have a clean shot at foe's back next round, if you hurry.;stun 1x
40;Mild strike to foe's chest. He can see your next strike coming and he attempts to block it.;+6H, must parry @ -10;Chest strike. Foe makes a strange noise on impact. He blocks and recovers.;+7H, must parry @ -20;Clever faint finds an opening in foe's guard. Your strike is light and fast. Bruise foe's chest.;+8H, stun 1x;Chest strike. Foe falls forward onto one knee in front of you. His guards is down for a moment.;+5H, stun no parry 1x;Strike is solid. It turns foe around. You have a clean shot at foe's back next round, if you hurry.;stun 1x
41;Mild strike to foe's chest. He can see your next strike coming and he attempts to block it.;+6H, must parry @ -10;Chest strike. Foe makes a strange noise on impact. He blocks and recovers.;+7H, must parry @ -20;Clever faint finds an opening in foe's guard. Your strike is light and fast. Bruise foe's chest.;+8H, stun 1x;Chest strike. Foe falls forward onto one knee in front of you. His guards is down for a moment.;+5H, stun no parry 1x;Strike is solid. It turns foe around. You have a clean shot at foe's back next round, if you hurry.;stun 1x
42;Mild strike to foe's chest. He can see your next strike coming and he attempts to block it.;+6H, must parry @ -10;Chest strike. Foe makes a strange noise on impact. He blocks and recovers.;+7H, must parry @ -20;Clever faint finds an opening in foe's guard. Your strike is light and fast. Bruise foe's chest.;+8H, stun 1x;Chest strike. Foe falls forward onto one knee in front of you. His guards is down for a moment.;+5H, stun no parry 1x;Strike is solid. It turns foe around. You have a clean shot at foe's back next round, if you hurry.;stun 1x
43;Mild strike to foe's chest. He can see your next strike coming and he attempts to block it.;+6H, must parry @ -10;Chest strike. Foe makes a strange noise on impact. He blocks and recovers.;+7H, must parry @ -20;Clever faint finds an opening in foe's guard. Your strike is light and fast. Bruise foe's chest.;+8H, stun 1x;Chest strike. Foe falls forward onto one knee in front of you. His guards is down for a moment.;+5H, stun no parry 1x;Strike is solid. It turns foe around. You have a clean shot at foe's back next round, if you hurry.;stun 1x
44;Mild strike to foe's chest. He can see your next strike coming and he attempts to block it.;+6H, must parry @ -10;Chest strike. Foe makes a strange noise on impact. He blocks and recovers.;+7H, must parry @ -20;Clever faint finds an opening in foe's guard. Your strike is light and fast. Bruise foe's chest.;+8H, stun 1x;Chest strike. Foe falls forward onto one knee in front of you. His guards is down for a moment.;+5H, stun no parry 1x;Strike is solid. It turns foe around. You have a clean shot at foe's back next round, if you hurry.;stun 1x
45;Mild strike to foe's chest. He can see your next strike coming and he attempts to block it.;+6H, must parry @ -10;Chest strike. Foe makes a strange noise on impact. He blocks and recovers.;+7H, must parry @ -20;Clever faint finds an opening in foe's guard. Your strike is light and fast. Bruise foe's chest.;+8H, stun 1x;Chest strike. Foe falls forward onto one knee in front of you. His guards is down for a moment.;+5H, stun no parry 1x;Strike is solid. It turns foe around. You have a clean shot at foe's back next round, if you hurry.;stun 1x
46;Foe is confused by your attack. He steps back to parry your next attack.;+6H, must parry @ -25;Glancing kick to foe's back. The effects are reasonable for your modest effort.;+5H, stun 1x;Step to the side and catch foe in his back. He stumbles forward. His guard is down.;stun no parry 1x;Solid chest strike. The impact confuses foe greatly. His ribs are fractured. He hates you.;+3H, stun 2x, foe @ -10;Draw down foe's defenses with a feint and then hammer him in chest. Your tactics are acceptable.;+5H, stun 2x, no parry 1x
47;Foe is confused by your attack. He steps back to parry your next attack.;+6H, must parry @ -25;Glancing kick to foe's back. The effects are reasonable for your modest effort.;+5H, stun 1x;Step to the side and catch foe in his back. He stumbles forward. His guard is down.;stun no parry 1x;Solid chest strike. The impact confuses foe greatly. His ribs are fractured. He hates you.;+3H, stun 2x, foe @ -10;Draw down foe's defenses with a feint and then hammer him in chest. Your tactics are acceptable.;+5H, stun 2x, no parry 1x
48;Foe is confused by your attack. He steps back to parry your next attack.;+6H, must parry @ -25;Glancing kick to foe's back. The effects are reasonable for your modest effort.;+5H, stun 1x;Step to the side and catch foe in his back. He stumbles forward. His guard is down.;stun no parry 1x;Solid chest strike. The impact confuses foe greatly. His ribs are fractured. He hates you.;+3H, stun 2x, foe @ -10;Draw down foe's defenses with a feint and then hammer him in chest. Your tactics are acceptable.;+5H, stun 2x, no parry 1x
49;Foe is confused by your attack. He steps back to parry your next attack.;+6H, must parry @ -25;Glancing kick to foe's back. The effects are reasonable for your modest effort.;+5H, stun 1x;Step to the side and catch foe in his back. He stumbles forward. His guard is down.;stun no parry 1x;Solid chest strike. The impact confuses foe greatly. His ribs are fractured. He hates you.;+3H, stun 2x, foe @ -10;Draw down foe's defenses with a feint and then hammer him in chest. Your tactics are acceptable.;+5H, stun 2x, no parry 1x
50;Foe is confused by your attack. He steps back to parry your next attack.;+6H, must parry @ -25;Glancing kick to foe's back. The effects are reasonable for your modest effort.;+5H, stun 1x;Step to the side and catch foe in his back. He stumbles forward. His guard is down.;stun no parry 1x;Solid chest strike. The impact confuses foe greatly. His ribs are fractured. He hates you.;+3H, stun 2x, foe @ -10;Draw down foe's defenses with a feint and then hammer him in chest. Your tactics are acceptable.;+5H, stun 2x, no parry 1x
51;Strike bends foe's hip in an odd direction. He is unbalanced.;+3H, stun 1x;Side strike sends foe stumbling to the left 5 feet. He recovers to face you.;+6H, stun 1x;With a circular block and a focused central strike you break foe's defenses.;stun no parry 1x, (+20 Next Attack);Textbook shot to foe's upper leg. The bruise is deep. Foe does not fall down.;+6H, foe @ -25;Hip strike spins foe. He is suspicious of gravity and struggles to stay standing.;+5H, stun 3x
52;Strike bends foe's hip in an odd direction. He is unbalanced.;+3H, stun 1x;Side strike sends foe stumbling to the left 5 feet. He recovers to face you.;+6H, stun 1x;With a circular block and a focused central strike you break foe's defenses.;stun no parry 1x, (+20 Next Attack);Textbook shot to foe's upper leg. The bruise is deep. Foe does not fall down.;+6H, foe @ -25;Hip strike spins foe. He is suspicious of gravity and struggles to stay standing.;+5H, stun 3x
53;Strike bends foe's hip in an odd direction. He is unbalanced.;+3H, stun 1x;Side strike sends foe stumbling to the left 5 feet. He recovers to face you.;+6H, stun 1x;With a circular block and a focused central strike you break foe's defenses.;stun no parry 1x, (+20 Next Attack);Textbook shot to foe's upper leg. The bruise is deep. Foe does not fall down.;+6H, foe @ -25;Hip strike spins foe. He is suspicious of gravity and struggles to stay standing.;+5H, stun 3x
54;Strike bends foe's hip in an odd direction. He is unbalanced.;+3H, stun 1x;Side strike sends foe stumbling to the left 5 feet. He recovers to face you.;+6H, stun 1x;With a circular block and a focused central strike you break foe's defenses.;stun no parry 1x, (+20 Next Attack);Textbook shot to foe's upper leg. The bruise is deep. Foe does not fall down.;+6H, foe @ -25;Hip strike spins foe. He is suspicious of gravity and struggles to stay standing.;+5H, stun 3x
55;Strike bends foe's hip in an odd direction. He is unbalanced.;+3H, stun 1x;Side strike sends foe stumbling to the left 5 feet. He recovers to face you.;+6H, stun 1x;With a circular block and a focused central strike you break foe's defenses.;stun no parry 1x, (+20 Next Attack);Textbook shot to foe's upper leg. The bruise is deep. Foe does not fall down.;+6H, foe @ -25;Hip strike spins foe. He is suspicious of gravity and struggles to stay standing.;+5H, stun 3x
56;Fist to chest. A solid punch. Foe is rattled a little.;+5H, stun 1x;Boom! Good shot to foe's stomach. He almost loses his lunch.;+3H, stun 2x;Strong wheel kick sends foe 10 feet in any desired direction.;+8H, stun 2x;Back strike. Foe attempts to flee and then changes his mind.;+4H, stun 3x;Shoulder strike. Foe is badly unbalances and unable to defend himself.;stun 2x, no parry 1x, foe @ -10
57;Fist to chest. A solid punch. Foe is rattled a little.;+5H, stun 1x;Boom! Good shot to foe's stomach. He almost loses his lunch.;+3H, stun 2x;Strong wheel kick sends foe 10 feet in any desired direction.;+8H, stun 2x;Back strike. Foe attempts to flee and then changes his mind.;+4H, stun 3x;Shoulder strike. Foe is badly unbalances and unable to defend himself.;stun 2x, no parry 1x, foe @ -10
58;Fist to chest. A solid punch. Foe is rattled a little.;+5H, stun 1x;Boom! Good shot to foe's stomach. He almost loses his lunch.;+3H, stun 2x;Strong wheel kick sends foe 10 feet in any desired direction.;+8H, stun 2x;Back strike. Foe attempts to flee and then changes his mind.;+4H, stun 3x;Shoulder strike. Foe is badly unbalances and unable to defend himself.;stun 2x, no parry 1x, foe @ -10
59;Fist to chest. A solid punch. Foe is rattled a little.;+5H, stun 1x;Boom! Good shot to foe's stomach. He almost loses his lunch.;+3H, stun 2x;Strong wheel kick sends foe 10 feet in any desired direction.;+8H, stun 2x;Back strike. Foe attempts to flee and then changes his mind.;+4H, stun 3x;Shoulder strike. Foe is badly unbalances and unable to defend himself.;stun 2x, no parry 1x, foe @ -10
60;Fist to chest. A solid punch. Foe is rattled a little.;+5H, stun 1x;Boom! Good shot to foe's stomach. He almost loses his lunch.;+3H, stun 2x;Strong wheel kick sends foe 10 feet in any desired direction.;+8H, stun 2x;Back strike. Foe attempts to flee and then changes his mind.;+4H, stun 3x;Shoulder strike. Foe is badly unbalances and unable to defend himself.;stun 2x, no parry 1x, foe @ -10
61;Blow on top of foe's foot is slightly misplaced, but quick. Bruise foe and mash toe nails.;+5H, foe @ -20 5x;Kick in back of foe's leg. He stumbles, but does not fall. You move to gain advantage.;+7H, stun 2x;Brutal strike to upper leg. The bruise is deep. The pain makes it hard for foe to stand on the leg.;+5H, foe @ -25;Blow strikes a nerve in foe's upper leg. He is not in pain, but his leg is numb.;stun 2x, foe @ -25 6x;Draw out foe's weapon arm. You strike cleanly to disarm him. Textbook.;+3H
62;Blow on top of foe's foot is slightly misplaced, but quick. Bruise foe and mash toe nails.;+5H, foe @ -20 5x;Kick in back of foe's leg. He stumbles, but does not fall. You move to gain advantage.;+7H, stun 2x;Brutal strike to upper leg. The bruise is deep. The pain makes it hard for foe to stand on the leg.;+5H, foe @ -25;Blow strikes a nerve in foe's upper leg. He is not in pain, but his leg is numb.;stun 2x, foe @ -25 6x;Draw out foe's weapon arm. You strike cleanly to disarm him. Textbook.;+3H
63;Blow on top of foe's foot is slightly misplaced, but quick. Bruise foe and mash toe nails.;+5H, foe @ -20 5x;Kick in back of foe's leg. He stumbles, but does not fall. You move to gain advantage.;+7H, stun 2x;Brutal strike to upper leg. The bruise is deep. The pain makes it hard for foe to stand on the leg.;+5H, foe @ -25;Blow strikes a nerve in foe's upper leg. He is not in pain, but his leg is numb.;stun 2x, foe @ -25 6x;Draw out foe's weapon arm. You strike cleanly to disarm him. Textbook.;+3H
64;Blow on top of foe's foot is slightly misplaced, but quick. Bruise foe and mash toe nails.;+5H, foe @ -20 5x;Kick in back of foe's leg. He stumbles, but does not fall. You move to gain advantage.;+7H, stun 2x;Brutal strike to upper leg. The bruise is deep. The pain makes it hard for foe to stand on the leg.;+5H, foe @ -25;Blow strikes a nerve in foe's upper leg. He is not in pain, but his leg is numb.;stun 2x, foe @ -25 6x;Draw out foe's weapon arm. You strike cleanly to disarm him. Textbook.;+3H
65;Blow on top of foe's foot is slightly misplaced, but quick. Bruise foe and mash toe nails.;+5H, foe @ -20 5x;Kick in back of foe's leg. He stumbles, but does not fall. You move to gain advantage.;+7H, stun 2x;Brutal strike to upper leg. The bruise is deep. The pain makes it hard for foe to stand on the leg.;+5H, foe @ -25;Blow strikes a nerve in foe's upper leg. He is not in pain, but his leg is numb.;stun 2x, foe @ -25 6x;Draw out foe's weapon arm. You strike cleanly to disarm him. Textbook.;+3H
66;Strike Achilles tendon. Foe almost falls. He recovers his balance, but the pain is strong.;+7H, stun 2x, foe @ -50;Strike foe in his forehead. The shock sprains neck and fractures foe's jaw. He cannot seem to close his jaw.;+4H, stun 9x, foe @ -50;Knife hand strike breaks foe's weapon arm, leaving it useless. Follow-up punch to solar plexus knocks out.;+0H;Grip foe's weapon arm. Dislocate the arm and then break it. Use your advantage to pull foe over and kick him in the face. Foe is knocked out.;(+20 Next Attack);Simultaneous palm strike to both of foe's ears. Destroy foe's hearing and balance.;stun 24x, foe @ -95
67;Weak spear hand to foe's side. It yields an excellent effect.;+2H, stun 2x;Spear hand strike to chest. Elbow shot to foe's side causes some confusion.;+3H, stun 3x;Strong knife hand to upper portion of foe's shield arm. Arm is broken.;+0H;Press your attack under the bottom of foe's ribcage. Knock the wind out of foe.;stun no parry 2x;Elbow to solar plexus and back of fist to foe's face. Foe drops.;5H, stun 3x, no parry 2x
68;Weak spear hand to foe's side. It yields an excellent effect.;+2H, stun 2x;Spear hand strike to chest. Elbow shot to foe's side causes some confusion.;+3H, stun 3x;Strong knife hand to upper portion of foe's shield arm. Arm is broken.;+0H;Press your attack under the bottom of foe's ribcage. Knock the wind out of foe.;stun no parry 2x;Elbow to solar plexus and back of fist to foe's face. Foe drops.;5H, stun 3x, no parry 2x
69;Weak spear hand to foe's side. It yields an excellent effect.;+2H, stun 2x;Spear hand strike to chest. Elbow shot to foe's side causes some confusion.;+3H, stun 3x;Strong knife hand to upper portion of foe's shield arm. Arm is broken.;+0H;Press your attack under the bottom of foe's ribcage. Knock the wind out of foe.;stun no parry 2x;Elbow to solar plexus and back of fist to foe's face. Foe drops.;5H, stun 3x, no parry 2x
70;Weak spear hand to foe's side. It yields an excellent effect.;+2H, stun 2x;Spear hand strike to chest. Elbow shot to foe's side causes some confusion.;+3H, stun 3x;Strong knife hand to upper portion of foe's shield arm. Arm is broken.;+0H;Press your attack under the bottom of foe's ribcage. Knock the wind out of foe.;stun no parry 2x;Elbow to solar plexus and back of fist to foe's face. Foe drops.;5H, stun 3x, no parry 2x
71;Knife hand, spear hand combination. Foe must roll a weapon fumble.;stun 1x;Hammer foe's weapon arm as it passes near you. The bruise is deep. Foe holds tight to his weapon.;+6H, stun 2x, foe @ -20;Strike to back of lower leg. Foe struggles to keep balance. He is unable to defend himself.;stun no parry 2x;Firm flat palm strike to foe's collarbone. Bone is broken. Foe guard is down. It hurts him to raise his arm.;stun no parry 2x, foe @ -25;Kick foe's knee in backwards. Tendons and muscles are torn. Foe yells out frightfully in response.;+5H, stun 3x, foe @ -50
72;Knife hand, spear hand combination. Foe must roll a weapon fumble.;stun 1x;Hammer foe's weapon arm as it passes near you. The bruise is deep. Foe holds tight to his weapon.;+6H, stun 2x, foe @ -20;Strike to back of lower leg. Foe struggles to keep balance. He is unable to defend himself.;stun no parry 2x;Firm flat palm strike to foe's collarbone. Bone is broken. Foe guard is down. It hurts him to raise his arm.;stun no parry 2x, foe @ -25;Kick foe's knee in backwards. Tendons and muscles are torn. Foe yells out frightfully in response.;+5H, stun 3x, foe @ -50
73;Knife hand, spear hand combination. Foe must roll a weapon fumble.;stun 1x;Hammer foe's weapon arm as it passes near you. The bruise is deep. Foe holds tight to his weapon.;+6H, stun 2x, foe @ -20;Strike to back of lower leg. Foe struggles to keep balance. He is unable to defend himself.;stun no parry 2x;Firm flat palm strike to foe's collarbone. Bone is broken. Foe guard is down. It hurts him to raise his arm.;stun no parry 2x, foe @ -25;Kick foe's knee in backwards. Tendons and muscles are torn. Foe yells out frightfully in response.;+5H, stun 3x, foe @ -50
