0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
48;Poor follow through. You lose a claw. Your attack is dubious.;+4H, foe @ -5 2x;Slash to foe's side does no cut deep. He turns to avoid the worst.;+3H;Solid strike to side does not break the skin. Foe skins to face you better.;+4H;Unexpected puncture in foe's side. You are pleased. Foe grips his side.;+3H, bleed 1x;You bring a powerful blow around against foe's back. He leaps back away.;+5H, must parry 1x, bleed 1x
49;Poor follow through. You lose a claw. Your attack is dubious.;+4H, foe @ -5 2x;Slash to foe's side does no cut deep. He turns to avoid the worst.;+3H;Solid strike to side does not break the skin. Foe skins to face you better.;+4H;Unexpected puncture in foe's side. You are pleased. Foe grips his side.;+3H, bleed 1x;You bring a powerful blow around against foe's back. He leaps back away.;+5H, must parry 1x, bleed 1x
50;Poor follow through. You lose a claw. Your attack is dubious.;+4H, foe @ -5 2x;Slash to foe's side does no cut deep. He turns to avoid the worst.;+3H;Solid strike to side does not break the skin. Foe skins to face you better.;+4H;Unexpected puncture in foe's side. You are pleased. Foe grips his side.;+3H, bleed 1x;You bring a powerful blow around against foe's back. He leaps back away.;+5H, must parry 1x, bleed 1x
51;Leaping chest strike yields some measurable damage.;+3H;Good little gash, produces an effective wound.;+3H, stun 1x;Mild strike to chest catches in a soft spot. You are surprised at its effect.;+4H, bleed 2x;Slash foe's stomach. If foe has no metal armor, you tear him open badly.;w/o: +5H, bleed 3x;Grip to foe's shield arm garments. Foe is unable to use his shield arm for 1 round.;+6H, bleed 1x
52;Leaping chest strike yields some measurable damage.;+3H;Good little gash, produces an effective wound.;+3H, stun 1x;Mild strike to chest catches in a soft spot. You are surprised at its effect.;+4H, bleed 2x;Slash foe's stomach. If foe has no metal armor, you tear him open badly.;w/o: +5H, bleed 3x;Grip to foe's shield arm garments. Foe is unable to use his shield arm for 1 round.;+6H, bleed 1x
53;Leaping chest strike yields some measurable damage.;+3H;Good little gash, produces an effective wound.;+3H, stun 1x;Mild strike to chest catches in a soft spot. You are surprised at its effect.;+4H, bleed 2x;Slash foe's stomach. If foe has no metal armor, you tear him open badly.;w/o: +5H, bleed 3x;Grip to foe's shield arm garments. Foe is unable to use his shield arm for 1 round.;+6H, bleed 1x
54;Leaping chest strike yields some measurable damage.;+3H;Good little gash, produces an effective wound.;+3H, stun 1x;Mild strike to chest catches in a soft spot. You are surprised at its effect.;+4H, bleed 2x;Slash foe's stomach. If foe has no metal armor, you tear him open badly.;w/o: +5H, bleed 3x;Grip to foe's shield arm garments. Foe is unable to use his shield arm for 1 round.;+6H, bleed 1x
55;Leaping chest strike yields some measurable damage.;+3H;Good little gash, produces an effective wound.;+3H, stun 1x;Mild strike to chest catches in a soft spot. You are surprised at its effect.;+4H, bleed 2x;Slash foe's stomach. If foe has no metal armor, you tear him open badly.;w/o: +5H, bleed 3x;Grip to foe's shield arm garments. Foe is unable to use his shield arm for 1 round.;+6H, bleed 1x
56;Light wound to thigh. Garments are torn. Promises are made.;+1H, bleed 1x;Scratch foe's skin, but you do not break the skin.;+6H;Your original strike misses, but foe's thigh is available as a consolation.;+4H, stun 1x, bleed 2x;Your strike catches the back of foe's thigh. Foe is unbalanced for a moment.;+6H, stun 1x, bleed 2x;You rip open foe's thigh. The look on his face tells you victory is near.;+7H, stun 1x, bleed 3x
57;Light wound to thigh. Garments are torn. Promises are made.;+1H, bleed 1x;Scratch foe's skin, but you do not break the skin.;+6H;Your original strike misses, but foe's thigh is available as a consolation.;+4H, stun 1x, bleed 2x;Your strike catches the back of foe's thigh. Foe is unbalanced for a moment.;+6H, stun 1x, bleed 2x;You rip open foe's thigh. The look on his face tells you victory is near.;+7H, stun 1x, bleed 3x
58;Light wound to thigh. Garments are torn. Promises are made.;+1H, bleed 1x;Scratch foe's skin, but you do not break the skin.;+6H;Your original strike misses, but foe's thigh is available as a consolation.;+4H, stun 1x, bleed 2x;Your strike catches the back of foe's thigh. Foe is unbalanced for a moment.;+6H, stun 1x, bleed 2x;You rip open foe's thigh. The look on his face tells you victory is near.;+7H, stun 1x, bleed 3x
59;Light wound to thigh. Garments are torn. Promises are made.;+1H, bleed 1x;Scratch foe's skin, but you do not break the skin.;+6H;Your original strike misses, but foe's thigh is available as a consolation.;+4H, stun 1x, bleed 2x;Your strike catches the back of foe's thigh. Foe is unbalanced for a moment.;+6H, stun 1x, bleed 2x;You rip open foe's thigh. The look on his face tells you victory is near.;+7H, stun 1x, bleed 3x
60;Light wound to thigh. Garments are torn. Promises are made.;+1H, bleed 1x;Scratch foe's skin, but you do not break the skin.;+6H;Your original strike misses, but foe's thigh is available as a consolation.;+4H, stun 1x, bleed 2x;Your strike catches the back of foe's thigh. Foe is unbalanced for a moment.;+6H, stun 1x, bleed 2x;You rip open foe's thigh. The look on his face tells you victory is near.;+7H, stun 1x, bleed 3x
61;Mild forearm wound. You are doing very well, keep it up.;+2H, bleed 2x;Raking forearm strike leaves a nasty scar. It bites deep enough to bleed.;+3H, bleed 2x;Foe blocks you with his arm and you tear it up as payment. The damage is substantial, before foe breaks free.;+3H, must parry 2x, bleed 2x;Grip to foe's forearm. Foe flails his arm around trying to shake off. You let go and move to a better position.;+5H, must parry 2x, bleed 2x, (+10 Next Attack);Slash across foe's chest and upper arm. Strike causes a bruise and then opens up a gaping wound on foe's shield arm.;+6H, stun 2x, bleed 3x
62;Mild forearm wound. You are doing very well, keep it up.;+2H, bleed 2x;Raking forearm strike leaves a nasty scar. It bites deep enough to bleed.;+3H, bleed 2x;Foe blocks you with his arm and you tear it up as payment. The damage is substantial, before foe breaks free.;+3H, must parry 2x, bleed 2x;Grip to foe's forearm. Foe flails his arm around trying to shake off. You let go and move to a better position.;+5H, must parry 2x, bleed 2x, (+10 Next Attack);Slash across foe's chest and upper arm. Strike causes a bruise and then opens up a gaping wound on foe's shield arm.;+6H, stun 2x, bleed 3x
63;Mild forearm wound. You are doing very well, keep it up.;+2H, bleed 2x;Raking forearm strike leaves a nasty scar. It bites deep enough to bleed.;+3H, bleed 2x;Foe blocks you with his arm and you tear it up as payment. The damage is substantial, before foe breaks free.;+3H, must parry 2x, bleed 2x;Grip to foe's forearm. Foe flails his arm around trying to shake off. You let go and move to a better position.;+5H, must parry 2x, bleed 2x, (+10 Next Attack);Slash across foe's chest and upper arm. Strike causes a bruise and then opens up a gaping wound on foe's shield arm.;+6H, stun 2x, bleed 3x
64;Mild forearm wound. You are doing very well, keep it up.;+2H, bleed 2x;Raking forearm strike leaves a nasty scar. It bites deep enough to bleed.;+3H, bleed 2x;Foe blocks you with his arm and you tear it up as payment. The damage is substantial, before foe breaks free.;+3H, must parry 2x, bleed 2x;Grip to foe's forearm. Foe flails his arm around trying to shake off. You let go and move to a better position.;+5H, must parry 2x, bleed 2x, (+10 Next Attack);Slash across foe's chest and upper arm. Strike causes a bruise and then opens up a gaping wound on foe's shield arm.;+6H, stun 2x, bleed 3x
65;Mild forearm wound. You are doing very well, keep it up.;+2H, bleed 2x;Raking forearm strike leaves a nasty scar. It bites deep enough to bleed.;+3H, bleed 2x;Foe blocks you with his arm and you tear it up as payment. The damage is substantial, before foe breaks free.;+3H, must parry 2x, bleed 2x;Grip to foe's forearm. Foe flails his arm around trying to shake off. You let go and move to a better position.;+5H, must parry 2x, bleed 2x, (+10 Next Attack);Slash across foe's chest and upper arm. Strike causes a bruise and then opens up a gaping wound on foe's shield arm.;+6H, stun 2x, bleed 3x
66;You find a nice vulnerable spot to rip open. Foe leaps back from your clutches. He unbalances himself to escape your assault.;+4H, stun no parry 2x, bleed 2x;Your strike grips foe's calf. He pulls away from you violently. His actions further damage the wound. You do your best, before he breaks free.;+5H, stun 2x, foe @ -20;Violent move assaults foe's arm, wrist and shoulder. Foe is shaken by the vicious strike. He drops his weapon and leaps back 10 feet. You stay with your quarry looking for an advantage.;+4H, stun 1x, (+10 Next Attack);Astounding head strike. If foe has no helm, you make a bloody mess of foe's scalp. To further your advantage you push foe's head sideways.;With helm: +4H | w/o: +7H, stun no parry 1x;Bizarre strike to eyes destroys 1 eye and leaves the other blind for 2 days. Foe is down and helpless for an hour. He will need assistance to even stand. His appearance is modified by -20.;+15H, stun 24x, foe @ -95
67;Slash to foe's shoulder. It's not deadly, but it is a start.;+3H, must parry 1x, bleed 1x;Claw scratches acrossed a piece of metal. That screeching sound!;+4H, stun 1x, bleed 1x;Pull foe off balance with a grasp to his shoulder. He steps away and stumbles.;+5H, stun 1x, bleed 2x, foe @ -20 1x;Graceful slash to foe's shoulder sweeps blood onto foe's face. Foe is unsteady.;+6H, stun no parry 1x, bleed 2x;Inspired shoulder strike sends foe reeling. You tear tendons and caused pain.;+7H, stun no parry 2x, foe @ -20
68;Slash to foe's shoulder. It's not deadly, but it is a start.;+3H, must parry 1x, bleed 1x;Claw scratches acrossed a piece of metal. That screeching sound!;+4H, stun 1x, bleed 1x;Pull foe off balance with a grasp to his shoulder. He steps away and stumbles.;+5H, stun 1x, bleed 2x, foe @ -20 1x;Graceful slash to foe's shoulder sweeps blood onto foe's face. Foe is unsteady.;+6H, stun no parry 1x, bleed 2x;Inspired shoulder strike sends foe reeling. You tear tendons and caused pain.;+7H, stun no parry 2x, foe @ -20
69;Slash to foe's shoulder. It's not deadly, but it is a start.;+3H, must parry 1x, bleed 1x;Claw scratches acrossed a piece of metal. That screeching sound!;+4H, stun 1x, bleed 1x;Pull foe off balance with a grasp to his shoulder. He steps away and stumbles.;+5H, stun 1x, bleed 2x, foe @ -20 1x;Graceful slash to foe's shoulder sweeps blood onto foe's face. Foe is unsteady.;+6H, stun no parry 1x, bleed 2x;Inspired shoulder strike sends foe reeling. You tear tendons and caused pain.;+7H, stun no parry 2x, foe @ -20
70;Slash to foe's shoulder. It's not deadly, but it is a start.;+3H, must parry 1x, bleed 1x;Claw scratches acrossed a piece of metal. That screeching sound!;+4H, stun 1x, bleed 1x;Pull foe off balance with a grasp to his shoulder. He steps away and stumbles.;+5H, stun 1x, bleed 2x, foe @ -20 1x;Graceful slash to foe's shoulder sweeps blood onto foe's face. Foe is unsteady.;+6H, stun no parry 1x, bleed 2x;Inspired shoulder strike sends foe reeling. You tear tendons and caused pain.;+7H, stun no parry 2x, foe @ -20
71;You attempt to assault foe's lower leg. You have the initiative.;With leg armor: +4H | w/o: +1H, bleed 2x;Assault foe's shin. If foe has no armor, you tear his shin up. Foe struggles to throw you off.;With leg armor: +6H | w/o: +3H, must parry 2, bleed 2x;You slash into a muscle on foe's calf. You have the initiative next round.;stun 2x, bleed 2x, foe @ -20;Lower leg strike. If foe has no leg armor, heavy bruise. Foe stumbles back to avoid you.;With leg armor: +3H, stun 1x | w/o: stun 2x, no parry 1x;Vicious leg wound bleeds hard. Foe's attempt to stop the bleeding get it all over his hands.;+5H, stun 3x, bleed 4x
72;You attempt to assault foe's lower leg. You have the initiative.;With leg armor: +4H | w/o: +1H, bleed 2x;Assault foe's shin. If foe has no armor, you tear his shin up. Foe struggles to throw you off.;With leg armor: +6H | w/o: +3H, must parry 2, bleed 2x;You slash into a muscle on foe's calf. You have the initiative next round.;stun 2x, bleed 2x, foe @ -20;Lower leg strike. If foe has no leg armor, heavy bruise. Foe stumbles back to avoid you.;With leg armor: +3H, stun 1x | w/o: stun 2x, no parry 1x;Vicious leg wound bleeds hard. Foe's attempt to stop the bleeding get it all over his hands.;+5H, stun 3x, bleed 4x
73;You attempt to assault foe's lower leg. You have the initiative.;With leg armor: +4H | w/o: +1H, bleed 2x;Assault foe's shin. If foe has no armor, you tear his shin up. Foe struggles to throw you off.;With leg armor: +6H | w/o: +3H, must parry 2, bleed 2x;You slash into a muscle on foe's calf. You have the initiative next round.;stun 2x, bleed 2x, foe @ -20;Lower leg strike. If foe has no leg armor, heavy bruise. Foe stumbles back to avoid you.;With leg armor: +3H, stun 1x | w/o: stun 2x, no parry 1x;Vicious leg wound bleeds hard. Foe's attempt to stop the bleeding get it all over his hands.;+5H, stun 3x, bleed 4x
74;You attempt to assault foe's lower leg. You have the initiative.;With leg armor: +4H | w/o: +1H, bleed 2x;Assault foe's shin. If foe has no armor, you tear his shin up. Foe struggles to throw you off.;With leg armor: +6H | w/o: +3H, must parry 2, bleed 2x;You slash into a muscle on foe's calf. You have the initiative next round.;stun 2x, bleed 2x, foe @ -20;Lower leg strike. If foe has no leg armor, heavy bruise. Foe stumbles back to avoid you.;With leg armor: +3H, stun 1x | w/o: stun 2x, no parry 1x;Vicious leg wound bleeds hard. Foe's attempt to stop the bleeding get it all over his hands.;+5H, stun 3x, bleed 4x
75;You attempt to assault foe's lower leg. You have the initiative.;With leg armor: +4H | w/o: +1H, bleed 2x;Assault foe's shin. If foe has no armor, you tear his shin up. Foe struggles to throw you off.;With leg armor: +6H | w/o: +3H, must parry 2, bleed 2x;You slash into a muscle on foe's calf. You have the initiative next round.;stun 2x, bleed 2x, foe @ -20;Lower leg strike. If foe has no leg armor, heavy bruise. Foe stumbles back to avoid you.;With leg armor: +3H, stun 1x | w/o: stun 2x, no parry 1x;Vicious leg wound bleeds hard. Foe's attempt to stop the bleeding get it all over his hands.;+5H, stun 3x, bleed 4x
76;Weak, but precise strike to foe's arm, Foe shakes you off, but you do some damage anyway.;+3H, stun 1x, bleed 1x;Strong, but imprecise arm strike. The wound is of moderate size. You are proud to have created it.;+5H, bleed 2x, foe @ -15;You take a shot at foe's forearm. It lands well. A muscle and tendon are slashed. He holds on to his weapon.;+5H, stun 2x, bleed 2x, foe @ -25;Grab foe's arm. Foe struggles violently to make you let go. You rend his arm without mercy. He gets free and stumbles back. You win this round.;+5H, stun 3x, bleed 2x, foe @ -25;Sly arm strike gives for a troublesome wound. What looks like a tiny wound is producing much blood. Foe does not fall down, but he stumbles much.;stun no parry 2x, bleed 3x
77;Weak, but precise strike to foe's arm, Foe shakes you off, but you do some damage anyway.;+3H, stun 1x, bleed 1x;Strong, but imprecise arm strike. The wound is of moderate size. You are proud to have created it.;+5H, bleed 2x, foe @ -15;You take a shot at foe's forearm. It lands well. A muscle and tendon are slashed. He holds on to his weapon.;+5H, stun 2x, bleed 2x, foe @ -25;Grab foe's arm. Foe struggles violently to make you let go. You rend his arm without mercy. He gets free and stumbles back. You win this round.;+5H, stun 3x, bleed 2x, foe @ -25;Sly arm strike gives for a troublesome wound. What looks like a tiny wound is producing much blood. Foe does not fall down, but he stumbles much.;stun no parry 2x, bleed 3x
78;Weak, but precise strike to foe's arm, Foe shakes you off, but you do some damage anyway.;+3H, stun 1x, bleed 1x;Strong, but imprecise arm strike. The wound is of moderate size. You are proud to have created it.;+5H, bleed 2x, foe @ -15;You take a shot at foe's forearm. It lands well. A muscle and tendon are slashed. He holds on to his weapon.;+5H, stun 2x, bleed 2x, foe @ -25;Grab foe's arm. Foe struggles violently to make you let go. You rend his arm without mercy. He gets free and stumbles back. You win this round.;+5H, stun 3x, bleed 2x, foe @ -25;Sly arm strike gives for a troublesome wound. What looks like a tiny wound is producing much blood. Foe does not fall down, but he stumbles much.;stun no parry 2x, bleed 3x
